Weekday,Date,Temp,Weather
Sunday,2022-06-26 0:00,14,Low clouds
Sunday,2022-06-26 1:00,9,Low clouds
Sunday,2022-06-26 2:00,10,Low clouds
Sunday,2022-06-26 3:00,9,Low clouds
Sunday,2022-06-26 4:00,9,Low clouds
Sunday,2022-06-26 5:00,12,Low clouds
Sunday,2022-06-26 6:00,17,Sunny
Sunday,2022-06-26 7:00,19,Sunny
Sunday,2022-06-26 8:00,19,Sunny
Sunday,2022-06-26 9:00,19,Sunny
Sunday,2022-06-26 10:00,20,Sunny
Sunday,2022-06-26 11:00,20,Sunny
Sunday,2022-06-26 12:00,20,Sunny
Sunday,2022-06-26 13:00,22,Sunny
Sunday,2022-06-26 14:00,21,Sunny
Sunday,2022-06-26 15:00,20,Sunny
Sunday,2022-06-26 16:00,20,Sunny
Sunday,2022-06-26 17:00,20,Sunny
Sunday,2022-06-26 18:00,20,Sunny
Sunday,2022-06-26 19:00,19,Sunny
Sunday,2022-06-26 20:00,12,Low clouds
Sunday,2022-06-26 21:00,9,Low clouds
Sunday,2022-06-26 22:00,9,Low clouds
Sunday,2022-06-26 23:00,9,Low clouds
Monday,2022-06-27 0:00,10,Clear
Monday,2022-06-27 1:00,10,Clear
Monday,2022-06-27 2:00,10,Clear
Monday,2022-06-27 3:00,10,Clear
Monday,2022-06-27 4:00,10,Clear
Monday,2022-06-27 5:00,10,Clear
Monday,2022-06-27 6:00,11,Sunny
Monday,2022-06-27 7:00,11,Sunny
Monday,2022-06-27 8:00,11,Sunny
Monday,2022-06-27 9:00,12,Sunny
Monday,2022-06-27 10:00,12,Sunny
Monday,2022-06-27 11:00,12,Sunny
Monday,2022-06-27 12:00,14,Sunny
Monday,2022-06-27 13:00,15,Sunny
Monday,2022-06-27 14:00,13,Sunny
Monday,2022-06-27 15:00,11,Sunny
Monday,2022-06-27 16:00,11,Sunny
Monday,2022-06-27 17:00,11,Sunny
Monday,2022-06-27 18:00,10,Low clouds
Monday,2022-06-27 19:00,10,Low clouds
Monday,2022-06-27 20:00,9,Low clouds
Monday,2022-06-27 21:00,8,Low clouds
Monday,2022-06-27 22:00,8,Low clouds
Monday,2022-06-27 23:00,7,Low clouds
Tuesday,2022-06-28 0:00,7,Low clouds
Tuesday,2022-06-28 1:00,7,Low clouds
Tuesday,2022-06-28 2:00,7,Low clouds
Tuesday,2022-06-28 3:00,6,Low clouds
Tuesday,2022-06-28 4:00,6,Low clouds
Tuesday,2022-06-28 5:00,6,Low clouds
Tuesday,2022-06-28 6:00,6,Low clouds
Tuesday,2022-06-28 7:00,5,Low clouds
Tuesday,2022-06-28 8:00,5,Low clouds
Tuesday,2022-06-28 9:00,5,Low clouds
Tuesday,2022-06-28 10:00,5,Low clouds
Tuesday,2022-06-28 11:00,5,Low clouds
Tuesday,2022-06-28 12:00,5,Low clouds
Tuesday,2022-06-28 13:00,7,Windy
Tuesday,2022-06-28 14:00,7,Windy
Tuesday,2022-06-28 15:00,7,Windy
Tuesday,2022-06-28 16:00,8,Windy
Tuesday,2022-06-28 17:00,8,Windy
Tuesday,2022-06-28 18:00,8,Clear
Tuesday,2022-06-28 19:00,8,Clear
Tuesday,2022-06-28 20:00,8,Clear
Tuesday,2022-06-28 21:00,10,Low clouds
Tuesday,2022-06-28 22:00,10,Low clouds
Tuesday,2022-06-28 23:00,10,Low clouds
Wednesday,2022-06-29 0:00,10,Low clouds
Wednesday,2022-06-29 1:00,10,Low clouds
Wednesday,2022-06-29 2:00,10,Low clouds
Wednesday,2022-06-29 3:00,11,Low clouds
Wednesday,2022-06-29 4:00,12,Low clouds
Wednesday,2022-06-29 5:00,13,Low clouds
Wednesday,2022-06-29 6:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 7:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 8:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 9:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 10:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 11:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 12:00,11,Rain and Thunderstorms
Wednesday,2022-06-29 13:00,13,Rain and Thunderstorms
Wednesday,2022-06-29 14:00,13,Rain and Thunderstorms
Wednesday,2022-06-29 15:00,13,Rain and Thunderstorms
Wednesday,2022-06-29 16:00,13,Rain and Thunderstorms
Wednesday,2022-06-29 17:00,13,Rain and Thunderstorms
Wednesday,2022-06-29 18:00,12,Rain and Thunderstorms
Wednesday,2022-06-29 19:00,12,Rain and Thunderstorms
Wednesday,2022-06-29 20:00,10,Rain and Thunderstorms
