,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
0,pedestrian_1-1-veh_107_tr,hbefa3/pc_g_eu4,1.0,152701_0_1,taxi,4615.71,2174.29,152701_0,7.419575640967865,43.7387490745554,1
1,pedestrian_1-1-veh_108_tr,hbefa3/pc_g_eu4,1.13,152385_0,taxi,4823.5,2041.55,152385,7.4225299945710255,43.73760292961856,1
2,pedestrian_1-1-veh_11_tr,hbefa3/pc_g_eu4,1.12,152701_1_1,taxi,4642.24,2168.94,152701_1,7.420125374504248,43.73871219768168,1
3,pedestrian_1-1-veh_121_tr,hbefa3/pc_g_eu4,0.98,152223_1,taxi,5603.1,3148.62,152223,7.431845995839623,43.74765915249639,1
4,pedestrian_1-1-veh_134_tr,hbefa3/pc_g_eu4,1.13,152707_0_1,taxi,4638.71,2229.26,152707_0,7.421731414620587,43.73982348647296,1
5,pedestrian_1-1-veh_143_tr,hbefa3/pc_g_eu4,1.0,152607_1,uber,5526.45,2934.36,152607,7.432467567931256,43.74681430468634,1
6,pedestrian_1-1-veh_14_tr,hbefa3/pc_g_eu4,1.0,152937_4_1,taxi,5504.91,3194.69,152937_4,7.430600650841815,43.748732410343656,1
7,pedestrian_1-1-veh_152_tr,hbefa3/pc_g_eu4,0.97,152817_0_1,taxi,4877.73,1410.65,152817_0,7.427048995770164,43.732558372748976,1
8,pedestrian_1-1-veh_167_tr,hbefa3/pc_g_eu4,1.0,152677_4_1,uber,5265.62,2334.75,152677_4,7.427991465639542,43.740411556052216,1
9,pedestrian_1-1-veh_182_tr,hbefa3/pc_g_eu4,1.13,152229_1,taxi,4573.34,2176.14,152229,7.419386797704149,43.73878535888536,1
10,pedestrian_1-1-veh_184_tr,hbefa3/pc_g_eu4,1.0,152667_10_1,taxi,5346.72,2733.28,152667_10,7.4287450048820896,43.74380679470676,1
11,pedestrian_1-1-veh_212_tr,hbefa3/pc_g_eu4,1.0,152385_0,uber,4792.78,2031.68,152385,7.4225299945710255,43.73760292961856,1
12,pedestrian_1-1-veh_213_tr,hbefa3/pc_g_eu4,0.96,152693_1_1,uber,4804.68,2372.74,152693_1,7.422142645661729,43.74052110483147,1
13,pedestrian_1-1-veh_218_tr,hbefa3/pc_g_eu4,1.13,152696_1,taxi,4865.87,2408.37,152696,7.422858843092192,43.740875295792215,1
14,pedestrian_1-1-veh_222_tr,hbefa3/pc_g_eu4,1.07,152607_1,uber,5631.0,3037.17,152607,7.432467567931256,43.74681430468634,1
15,pedestrian_1-1-veh_235_tr,hbefa3/pc_g_eu4,1.0,152944_2_1,taxi,4569.9,2135.9,152944_2,7.41933498584095,43.73854100027936,1
16,pedestrian_1-1-veh_244_tr,hbefa3/pc_g_eu4,1.0,152607_1,taxi,5529.18,2939.06,152607,7.432467567931256,43.74681430468634,1
17,pedestrian_1-1-veh_247_tr,hbefa3/pc_g_eu4,1.0,152385_0,uber,4792.78,2031.68,152385,7.4225299945710255,43.73760292961856,1
18,pedestrian_1-1-veh_248_tr,hbefa3/pc_g_eu4,0.93,152223_1,taxi,5594.65,3153.48,152223,7.431845995839623,43.74765915249639,1
19,pedestrian_1-1-veh_257_tr,hbefa3/pc_g_eu4,1.04,152607_1,uber,5642.34,3045.66,152607,7.432467567931256,43.74681430468634,1
20,pedestrian_1-1-veh_265_tr,hbefa3/pc_g_eu4,1.13,152229_2,taxi,4574.84,2173.08,152229,7.419399812013624,43.73875798737404,1
21,pedestrian_1-1-veh_270_tr,hbefa3/pc_g_eu4,0.0,152944_2_1,taxi,4568.65,2143.06,152944_2,7.41933498584095,43.73854100027936,1
22,pedestrian_1-1-veh_283_tr,hbefa3/pc_g_eu4,1.13,152354_1_1,taxi,5404.15,2937.23,152354_1,7.430156311149092,43.746269001804,1
23,pedestrian_1-1-veh_302_tr,hbefa3/pc_g_eu4,0.0,152701_2_1,taxi,4679.41,2178.21,152701_2,7.4203527327518595,43.73872713576025,1
24,pedestrian_1-1-veh_305_tr,hbefa3/pc_g_eu4,1.13,152234_1,taxi,4587.97,2167.79,152234,7.419384703267362,43.738544028966416,1
25,pedestrian_1-1-veh_307_tr,hbefa3/pc_g_eu4,1.0,152354_1_1,taxi,5430.43,2954.16,152354_1,7.430156311149092,43.746269001804,1
26,pedestrian_1-1-veh_330_tr,hbefa3/pc_g_eu4,1.01,152696_1,uber,4903.44,2443.9,152696,7.422858843092192,43.740875295792215,1
